d1_1,d1_2,d1_3,d1_4,d2,d3,d4,d5,d6,d7,d8,d9_a1_b1,d9_a1_b2,d9_a2_b1,d9_a2_b2,d9_a3_b1,d9_a3_b2,d9_a4_b1,d9_a4_b2,d10,ride_match,comfort,safety
0,1,1,1,0.0,2.0,0.0,2,1,2,1,1,1,0.0,1.0,1.0,1.0,,,1,0.87,10.2,23.0
1,1,1,0,1.0,1.0,2.0,1,0,0,2,1,1,1.0,0.0,0.0,1.0,,,2,0.76,16.7,20.0
0,1,1,0,0.0,2.0,0.0,2,0,2,1,1,0,1.0,0.0,,,,,0,0.87,9.7,23.0
1,1,1,1,2.0,0.0,1.0,0,2,1,2,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2,0.91,10.3,21.0
0,0,1,1,1.0,0.0,1.0,0,0,1,0,0,1,1.0,1.0,,,,,1,0.79,12.2,22.0
0,1,1,1,2.0,1.0,2.0,1,2,0,2,1,1,0.0,1.0,1.0,0.0,,,2,0.88,13.5,22.0
1,1,1,0,2.0,0.0,0.0,1,2,0,1,1,1,1.0,0.0,0.0,1.0,,,1,0.88,14.5,22.0
1,1,1,1,1.0,0.0,2.0,0,1,2,0,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0,0.81,10.4,21.0
1,1,1,0,1.0,0.0,1.0,2,0,0,0,0,1,1.0,0.0,1.0,0.0,,,1,0.76,15.1,20.0
0,0,1,1,0.0,1.0,2.0,1,0,1,1,0,1,1.0,1.0,,,,,2,0.85,10.5,21.0
1,1,1,1,2.0,2.0,1.0,0,1,1,1,1,0,0.0,1.0,1.0,1.0,0.0,1.0,0,0.91,10.6,23.0
1,0,1,1,2.0,0.0,0.0,2,1,1,1,0,1,1.0,1.0,1.0,1.0,,,0,0.91,11.8,21.0
1,1,1,1,2.0,0.0,1.0,2,1,1,1,1,0,1.0,1.0,0.0,1.0,0.0,1.0,2,0.91,13.9,22.0
0,1,1,0,1.0,0.0,1.0,1,2,0,1,1,0,1.0,0.0,,,,,0,0.76,15.0,20.0
0,1,1,1,1.0,1.0,1.0,2,1,1,1,1,0,0.0,1.0,1.0,0.0,,,2,0.79,14.5,24.0
1,1,1,1,0.0,1.0,0.0,2,1,2,2,1,1,0.0,1.0,1.0,0.0,0.0,1.0,2,0.87,10.3,23.0
1,0,0,0,0.0,2.0,,0,0,1,1,0,1,,,,,,,1,0.85,12.6,23.0
1,1,1,0,2.0,1.0,2.0,0,0,1,0,0,1,1.0,0.0,0.0,1.0,,,2,0.91,11.1,23.0
0,1,1,1,2.0,1.0,0.0,2,0,0,2,1,1,1.0,0.0,0.0,1.0,,,0,0.88,14.0,21.0
1,1,1,0,2.0,2.0,0.0,0,1,1,1,0,1,1.0,0.0,0.0,1.0,,,2,0.91,11.5,22.0
1,0,1,1,1.0,2.0,0.0,2,0,0,2,1,0,0.0,1.0,1.0,0.0,,,2,0.76,15.1,22.0
1,1,1,1,2.0,0.0,2.0,1,0,1,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0,0.91,12.4,23.0
0,1,1,1,2.0,0.0,2.0,2,1,2,1,0,1,0.0,1.0,1.0,1.0,,,0,0.93,10.9,23.0
1,1,1,1,1.0,2.0,2.0,2,1,2,2,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0,0.81,13.7,22.0
1,0,1,1,2.0,1.0,1.0,1,1,0,2,0,1,1.0,1.0,0.0,1.0,,,2,0.88,14.3,23.0
1,1,1,1,0.0,2.0,0.0,0,0,1,2,0,1,1.0,1.0,1.0,0.0,1.0,1.0,2,0.85,11.4,23.0
1,0,1,0,0.0,1.0,2.0,1,2,1,0,0,1,0.0,1.0,,,,,1,0.85,10.0,24.0
0,1,1,1,1.0,0.0,0.0,0,2,1,1,1,1,1.0,1.0,0.0,1.0,,,0,0.79,12.6,23.0
1,1,0,0,1.0,2.0,,2,1,2,0,1,0,1.0,0.0,,,,,0,0.81,9.2,21.0
1,1,1,1,2.0,2.0,0.0,0,0,0,2,1,0,1.0,0.0,1.0,1.0,1.0,1.0,2,0.88,14.8,21.0
1,1,1,1,0.0,2.0,0.0,1,0,1,1,1,0,1.0,1.0,1.0,0.0,0.0,1.0,2,0.85,13.1,22.0
1,0,1,1,0.0,0.0,1.0,1,2,1,1,1,1,1.0,0.0,1.0,1.0,,,1,0.85,11.2,22.0
1,1,1,1,0.0,1.0,2.0,0,1,2,2,1,1,0.0,1.0,1.0,0.0,1.0,1.0,1,0.87,9.0,24.0
1,1,1,1,0.0,0.0,2.0,1,2,1,2,1,1,1.0,1.0,1.0,0.0,1.0,1.0,0,0.85,12.3,24.0
1,1,1,1,2.0,1.0,0.0,2,1,2,2,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1,0.93,10.0,23.0
1,1,1,1,0.0,2.0,0.0,1,1,0,2,0,1,1.0,0.0,0.0,1.0,0.0,1.0,1,0.82,12.3,23.0
0,0,1,1,2.0,2.0,1.0,0,0,0,2,1,0,1.0,0.0,,,,,2,0.88,14.4,21.0
1,1,0,0,1.0,1.0,,2,1,1,0,0,1,1.0,0.0,,,,,0,0.79,12.3,21.0
1,1,1,1,2.0,1.0,0.0,0,0,0,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1,0.88,15.8,22.0
1,1,1,0,2.0,1.0,0.0,0,2,0,0,0,1,1.0,0.0,1.0,0.0,,,0,0.88,10.2,21.0
1,0,1,1,1.0,0.0,0.0,2,1,0,2,1,1,0.0,1.0,1.0,0.0,,,2,0.76,15.6,21.0
0,1,1,0,2.0,0.0,0.0,0,1,1,1,0,1,0.0,1.0,,,,,1,0.91,13.6,24.0
1,1,1,1,2.0,0.0,1.0,2,1,1,0,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0,0.91,11.8,23.0
1,1,1,1,0.0,1.0,1.0,1,0,1,0,0,1,1.0,0.0,1.0,0.0,1.0,1.0,2,0.85,8.2,21.0
1,1,1,0,2.0,0.0,0.0,1,2,0,1,1,1,0.0,1.0,1.0,1.0,,,1,0.88,12.2,21.0
1,1,1,1,2.0,0.0,1.0,1,1,2,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.93,8.8,23.0
0,1,1,0,2.0,0.0,0.0,1,2,1,2,1,0,0.0,1.0,,,,,0,0.91,13.6,22.0
1,1,1,1,0.0,0.0,1.0,2,0,2,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,1,0.87,9.6,22.0
1,1,1,1,2.0,2.0,2.0,1,0,0,0,1,1,1.0,0.0,1.0,1.0,0.0,1.0,1,0.88,11.6,20.0
1,0,1,1,1.0,2.0,1.0,2,0,2,0,1,1,0.0,1.0,1.0,0.0,,,2,0.81,10.8,21.0
1,1,1,1,0.0,2.0,2.0,1,0,2,0,1,1,1.0,0.0,0.0,1.0,1.0,1.0,1,0.87,9.5,23.0
1,0,1,1,0.0,2.0,2.0,2,1,0,2,1,0,0.0,1.0,1.0,0.0,,,2,0.82,11.5,23.0
0,1,1,0,1.0,2.0,0.0,1,1,1,1,1,0,1.0,0.0,,,,,0,0.79,15.2,21.0
1,1,0,1,0.0,1.0,,0,2,0,0,1,1,1.0,1.0,1.0,0.0,,,0,0.82,12.4,23.0
1,0,1,1,1.0,1.0,1.0,1,2,0,0,0,1,1.0,1.0,1.0,1.0,,,1,0.76,12.9,20.0
1,1,1,1,1.0,0.0,2.0,1,0,1,1,1,0,1.0,0.0,1.0,1.0,1.0,1.0,2,0.79,15.6,20.0
1,1,1,1,0.0,1.0,0.0,0,1,2,2,1,1,1.0,0.0,0.0,1.0,1.0,1.0,2,0.87,10.7,22.0
0,1,1,1,2.0,2.0,0.0,0,1,1,2,0,1,1.0,1.0,1.0,0.0,,,1,0.91,13.7,23.0
0,1,1,1,0.0,0.0,0.0,2,0,2,2,1,0,1.0,1.0,1.0,1.0,,,2,0.87,11.4,23.0
1,0,1,0,2.0,1.0,0.0,2,0,2,2,0,1,0.0,1.0,,,,,0,0.93,10.5,22.0
1,0,1,0,0.0,0.0,0.0,1,0,1,1,1,0,1.0,1.0,,,,,1,0.85,12.2,24.0
1,1,0,1,0.0,2.0,,2,1,2,2,1,0,1.0,0.0,1.0,1.0,,,2,0.87,10.8,21.0
1,0,1,1,2.0,2.0,1.0,2,0,2,2,1,0,1.0,0.0,0.0,1.0,,,0,0.93,11.6,21.0
1,1,1,1,1.0,2.0,0.0,0,1,1,0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,1,0.79,12.7,21.0
0,1,1,1,1.0,1.0,1.0,2,0,1,0,1,1,0.0,1.0,0.0,1.0,,,1,0.79,12.6,23.0
0,1,0,1,2.0,0.0,,1,2,1,1,1,1,0.0,1.0,,,,,1,0.91,11.1,22.0
0,1,1,1,1.0,0.0,2.0,2,0,2,0,1,1,1.0,0.0,1.0,1.0,,,2,0.81,9.5,21.0
1,1,1,1,0.0,1.0,1.0,0,0,2,2,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0,0.87,11.1,24.0
0,0,1,1,1.0,0.0,1.0,0,1,0,1,1,0,1.0,0.0,,,,,1,0.76,16.0,21.0
0,1,1,0,0.0,0.0,0.0,2,0,0,2,1,0,1.0,0.0,,,,,1,0.82,16.1,23.0
0,1,1,1,1.0,0.0,0.0,0,2,1,1,1,0,1.0,1.0,1.0,0.0,,,0,0.79,13.1,23.0
0,0,1,1,2.0,0.0,0.0,0,2,0,2,1,0,0.0,1.0,,,,,0,0.88,14.2,22.0
1,1,0,1,2.0,1.0,,1,0,1,0,0,1,1.0,0.0,0.0,1.0,,,2,0.91,12.7,23.0
1,1,0,1,2.0,0.0,,2,0,0,2,1,0,1.0,1.0,1.0,0.0,,,1,0.88,13.5,23.0
1,1,1,1,1.0,1.0,0.0,0,1,0,2,1,1,1.0,1.0,0.0,1.0,1.0,1.0,2,0.76,17.9,21.0
0,1,1,0,1.0,0.0,1.0,2,1,0,1,1,0,1.0,1.0,,,,,2,0.76,14.2,21.0
0,1,1,1,1.0,1.0,1.0,2,1,2,0,1,1,1.0,0.0,0.0,1.0,,,2,0.81,13.0,22.0
1,1,1,0,0.0,0.0,1.0,1,0,2,1,0,1,0.0,1.0,1.0,0.0,,,2,0.87,9.9,24.0
0,1,1,1,0.0,2.0,1.0,0,1,2,1,0,1,0.0,1.0,1.0,1.0,,,2,0.87,9.9,23.0
0,1,1,1,0.0,0.0,2.0,0,1,2,2,0,1,1.0,1.0,0.0,1.0,,,1,0.87,10.4,23.0
1,1,1,0,1.0,2.0,2.0,0,1,2,0,1,1,0.0,1.0,0.0,1.0,,,2,0.81,11.8,22.0
0,1,1,1,1.0,0.0,1.0,2,1,1,0,1,0,1.0,0.0,1.0,1.0,,,2,0.79,13.7,19.0
0,1,1,0,2.0,0.0,0.0,1,0,2,0,1,1,1.0,1.0,,,,,2,0.93,9.1,23.0
1,1,1,1,1.0,0.0,2.0,0,2,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1,0.81,11.8,22.0
1,1,1,1,1.0,1.0,0.0,2,0,2,2,1,0,1.0,1.0,0.0,1.0,0.0,1.0,1,0.81,13.8,21.0
1,1,1,1,1.0,0.0,2.0,0,1,2,1,1,0,0.0,1.0,1.0,0.0,1.0,1.0,0,0.81,12.3,23.0
1,0,1,1,0.0,1.0,2.0,1,0,0,1,1,1,1.0,0.0,1.0,1.0,,,2,0.82,12.9,22.0
1,1,1,1,0.0,0.0,0.0,0,2,0,2,1,1,0.0,1.0,1.0,0.0,1.0,0.0,1,0.82,13.8,22.0
0,1,1,1,2.0,1.0,0.0,2,1,0,2,1,0,1.0,1.0,1.0,1.0,,,0,0.88,15.0,21.0
1,1,1,1,0.0,2.0,2.0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.82,7.8,21.0
1,1,1,1,0.0,1.0,2.0,2,0,2,2,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0,0.87,10.3,23.0
1,1,1,0,0.0,0.0,2.0,1,2,1,2,0,1,1.0,1.0,1.0,0.0,,,1,0.85,13.1,24.0
0,1,1,1,2.0,2.0,2.0,0,0,2,1,1,0,1.0,1.0,0.0,1.0,,,1,0.93,9.8,20.0
1,1,1,1,0.0,1.0,0.0,0,0,0,0,0,1,1.0,0.0,1.0,1.0,1.0,0.0,2,0.82,9.8,22.0
0,0,1,1,1.0,0.0,2.0,2,0,1,2,1,1,0.0,1.0,,,,,2,0.79,17.1,22.0
1,0,1,1,2.0,0.0,2.0,1,1,2,2,1,0,1.0,1.0,0.0,1.0,,,0,0.93,12.0,21.0
0,1,1,1,2.0,1.0,0.0,2,0,0,1,1,1,0.0,1.0,1.0,0.0,,,2,0.88,12.8,24.0
1,1,1,1,1.0,1.0,0.0,1,0,0,2,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0,0.76,16.0,21.0
1,1,1,1,0.0,2.0,2.0,1,2,1,0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1,0.85,7.2,24.0
1,0,1,1,0.0,1.0,2.0,2,0,1,2,1,0,1.0,0.0,1.0,1.0,,,1,0.85,12.9,23.0
0,0,1,1,2.0,0.0,1.0,0,2,1,1,1,1,1.0,1.0,,,,,1,0.91,12.9,22.0
0,0,1,1,1.0,0.0,2.0,0,1,2,0,1,0,1.0,1.0,,,,,0,0.81,10.5,22.0
0,1,1,1,0.0,1.0,0.0,2,1,0,2,0,1,1.0,1.0,1.0,1.0,,,1,0.82,12.6,23.0
1,1,1,1,2.0,2.0,2.0,2,0,1,0,1,0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.91,11.8,22.0
1,1,1,0,1.0,0.0,2.0,2,0,2,1,0,1,0.0,1.0,1.0,1.0,,,2,0.81,13.2,22.0
